line,month,runs,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_machine_min,units_per_operator_hr
AMS,2025-01,19,3959,115.9,144.1,34.2,0.57,27.5
AMS,2025-02,31,8119,201.4,266.1,40.3,0.672,30.5
AMS,2025-03,33,9002,193.7,368.3,46.5,0.774,24.4
AMS,2025-04,24,8810,162.8,278.9,54.1,0.902,31.6
AMS,2025-05,45,9378,290.4,318.5,32.3,0.538,29.4
AMS,2025-06,30,10609,163.6,301.4,64.9,1.081,35.2
AMS,2025-07,39,14001,182.1,525.8,76.9,1.281,26.6
AMS,2025-08,34,11887,154.1,448.1,77.1,1.286,26.5
AMS,2025-09,15,4031,86.0,209.8,46.9,0.781,19.2
AMS,2025-10,42,13699,196.7,515.6,69.7,1.161,26.6
AMS,2025-11,50,14161,212.0,496.6,66.8,1.113,28.5
AMS,2025-12,48,16107,243.2,742.4,66.2,1.104,21.7
AMS,2026-01,71,29230,332.2,811.9,88.0,1.467,36.0
AMS,2026-02,51,24669,197.9,616.8,124.6,2.077,40.0
AMS,2026-03,60,26265,181.2,642.8,144.9,2.415,40.9
AMS,2026-04,49,39575,120.2,366.7,329.2,5.486,107.9
AMS,2026-05,23,11912,67.4,231.2,176.8,2.947,51.5
AMS,2026-06,26,8489,70.7,269.0,120.0,2.0,31.6
AMS,2026-07,25,16420,85.3,291.6,192.6,3.21,56.3
AMS,2026-08,16,6605,38.0,136.3,173.6,2.893,48.5
AMS:handpack,2025-01,19,3959,115.9,144.1,34.2,0.57,27.5
AMS:handpack,2025-02,31,8119,201.4,266.1,40.3,0.672,30.5
AMS:handpack,2025-03,33,9002,193.7,368.3,46.5,0.774,24.4
AMS:handpack,2025-04,24,8810,162.8,278.9,54.1,0.902,31.6
AMS:handpack,2025-05,45,9378,290.4,318.5,32.3,0.538,29.4
AMS:handpack,2025-06,30,10609,163.6,301.4,64.9,1.081,35.2
AMS:handpack,2025-07,39,14001,182.1,525.8,76.9,1.281,26.6
AMS:handpack,2025-08,34,11887,154.1,448.1,77.1,1.286,26.5
AMS:handpack,2025-09,15,4031,86.0,209.8,46.9,0.781,19.2
AMS:handpack,2025-10,42,13699,196.7,515.6,69.7,1.161,26.6
AMS:handpack,2025-11,50,14161,212.0,496.6,66.8,1.113,28.5
AMS:handpack,2025-12,48,16107,243.2,742.4,66.2,1.104,21.7
AMS:handpack,2026-01,71,29230,332.2,811.9,88.0,1.467,36.0
AMS:handpack,2026-02,51,24669,197.9,616.8,124.6,2.077,40.0
AMS:handpack,2026-03,60,26265,181.2,642.8,144.9,2.415,40.9
AMS:handpack,2026-05,1,4,12.8,12.8,0.3,0.005,0.3
AMS:handpack,2026-06,2,336,7.0,13.9,48.2,0.804,24.1
AMS:handpack,2026-07,4,2520,20.9,55.3,120.7,2.011,45.6
AMS:machine(Amy),2026-04,49,39575,120.2,366.7,329.2,5.486,107.9
AMS:machine(Amy),2026-05,22,11908,54.6,218.5,218.0,3.634,54.5
AMS:machine(Amy),2026-06,24,8153,63.8,255.1,127.9,2.131,32.0
AMS:machine(Amy),2026-07,21,13900,64.4,236.4,216.0,3.599,58.8
